#Variables:
#tasmax_GFDL-ESM2M_rcp85(K):Daily Maximum Near-Surface Air Temperature
#tasmin_GFDL-ESM2M_rcp85(K):Daily Minimum Near-Surface Air Temperature
"#Data Extracted for Average over Grid Cell w/ center: 47.6044 Latitude, -122.3139 Longitude (closest value to Latitude:47.6062, Longitude:-122.3321) "
#Original Data File(s):
#agg_macav2metdata_tasmax_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#agg_macav2metdata_tasmin_GFDL-ESM2M_r1i1p1_rcp85_2006_2099_CONUS_daily.nc 
#===============================================
"yyyy-mm-dd,tasmax_GFDL-ESM2M_rcp85(K),tasmin_GFDL-ESM2M_rcp85(K)"
""
yyyy-mm-dd,tasmax_GFDL-ESM2M_rcp85(K),tasmin_GFDL-ESM2M_rcp85(K)
2006-01-01,281.051514,275.365631
2006-01-02,282.271027,274.356873
2006-01-03,284.019348,272.974884
2006-01-04,284.470245,277.112183
2006-01-05,285.236389,278.774628
2006-01-06,284.474670,276.663483
2006-01-07,285.283112,276.701935
2006-01-08,282.954895,280.437225
2006-01-09,282.777161,277.985992
2006-01-10,281.511993,272.232208
2006-01-11,283.204895,277.339386
2006-01-12,283.502502,276.749634
2006-01-13,284.342102,278.009796
2006-01-14,283.643097,276.920471
2006-01-15,283.882751,276.709229
2006-01-16,283.133789,277.852783
2006-01-17,281.557251,273.980621
2006-01-18,279.766815,275.025635
2006-01-19,280.188965,276.467896
2006-01-20,280.493622,273.173523
2006-01-21,277.457642,273.270721
2006-01-22,278.170380,272.805054
2006-01-23,277.804199,271.612457
2006-01-24,277.816956,268.740112
2006-01-25,277.819366,269.837860
2006-01-26,277.617493,269.122223
2006-01-27,277.621857,271.145630
2006-01-28,278.683197,271.820679
2006-01-29,278.008942,271.212708
2006-01-30,278.990265,271.375458
2006-01-31,278.579681,273.853455
2006-02-01,279.674713,268.334839
2006-02-02,278.231934,266.833038
2006-02-03,281.895996,266.561096
2006-02-04,279.264465,276.068604
2006-02-05,280.009247,271.692200
2006-02-06,278.126801,270.041840
2006-02-07,278.141510,268.199890
2006-02-08,279.869354,270.659576
